,comment_IDs,user_IDs,shop_IDs,comment_lenghs,VIPcomment_ornot,if_pictures,comment_pictures,comment_taste_scores,comment_surround_scores,comment_serv_scores,comment_words,heart_nums,reply_nums,busi_reply_words,busi_reply_lenghs,,,,,刘心如,李志勋,栗渊钧,丁妮,是否满意,,周星彤,徐睿双,张柃娜,刘睿益,苏子眙
58883,331332511,19051681,16831741,100,0,1,3,0,0,0,如果能给负分我真的会这么做没有一个菜是好吃的连基本的家常菜味道也都很奇怪食材也不新鲜上来的菜也都已经凉了服务态度不好叫半天人都不过来环境不好很冷感觉只有跟团来的人才会被迫来这儿吃吧,0,0,谢谢接受你的意见一定改进,14,,,,,,,,,0,,,,,,
495207,312974125,5195059,24361012,98,0,0,0,0,0,0,来了好多次了今天本来不饿路过随便过来拿点菜吃菜元要了瓶北冰洋元收银员居然说麻辣烫最低消费元不算北冰洋头一次听说吃麻辣烫还有最低消费的不好意思杨国福这是本人最后一次吃你们家,1,0,做任何生意都要成本的换位思考一下我们底汤成本一斤就一元斤每个客人都像你这样我们就没法做生意了就是给你这类人定的规矩,65,,,,,,,,,0,,,,,,
119434,315054838,1027598089,18285870,37,0,0,0,2,2,1,进门就问要马蹄水还是酸梅汤最后还是收费的明显误导消费者牛蛙老的咬不动,1,0,客官您好感谢您光临南京大牌档给您造成的不满我们深表歉意我们一定会更加努力争取让您和更多的客官满意,54,,,,,,,,,0,,,,,,
885265,280529307,6525952,5239622,62,0,0,0,1,2,2,真的不能和前今年相比了虽然网上经常有团购价位在自助里算是中等但是吃的种类越来越少口味偏咸海鲜也没有以前那么新鲜了,0,0,尊敬的贵宾您好非常感谢您选择北京蓝海钟鼎楼食府石景山很高兴能够得到您的认可和支持您对我们酒店菜品及服务的认可是我们奋斗的目标和前进的动力一楼零点厅每餐都会提供免费的粥和三款小凉菜零点厅近期又新推出了款特价菜价格均在之间经济实惠且分量足我们近期新推出了蓝海上榜菜收集民间美食让您品尝到多款民间的美食近期我们又新推出了中餐会员加入注册后即可享受到会员价格的菜品近期我们又推出了几款川菜以及我们还推出了素食宴网站上还有其它的团购套餐您也可以尝试一下欢迎您品尝一定不会让您失望的期待您的下次光临祝合家美满幸福安康,279,,,,,,,,,1,,,,,,
915733,318105185,817855635,5501852,37,0,1,2,0,0,0,垃圾店点什么什么没有服务员傻呆呆的连句正话都不会说就这一回垃圾,0,0,您好首先非常感谢您对我们新石器烤肉的支持我是店长小刁对于这次用餐没能让您满意深表歉意如果您方便的话请与我们进一步联系我们我的手机号真诚希望您再次光临餐厅相信您会有不一样的体验上海盘古餐饮管理有限公司北京天时名苑店,128,,,,,,,,,1,,,,,,
766451,269970462,37555988,45304879,120,1,1,3,2,1,2,第一次来这里吃等了非常久然后告诉我们没有了你早说啊有这么玩的让换餐最后赔了两瓶地雷饮料看在地雷的份上就不给差评了味道和可以店里排队的人真多而且他们家的店面很小很多外卖我们点的大概被外卖拿走了吧,0,0,给您带来的不便我们深表抱歉,14,,,,,,,,,0,,,,,,
431378,188972478,768581401,23229768,61,0,0,0,0,0,0,中午赶时间就来这家吃饭菜量非常小上菜速度非常慢最后吃完饭两个菜都没上来服务员就自己说要退菜太差啦以后再也不来了,2,0,您好非常抱歉对不起对不起非常感谢您给我们提出的建议我们已经对您提出的上菜慢的问题做了调查由于我们后厨员工的操作失误导致而成对此我表示非常的抱歉真诚的说一句对不起我不知道用什么语言能表示我们的歉意员工做的不好是我们监督不到同时希望您能给我们一个改正的机会希望您能监督我们的改变胡同小馆全体员工恭迎您的到来我是公司的罗经理希望您能多给我们提一些我们工作的不足非常感谢我的电话是最后祝您身体健康工作顺利,229,,,,,,,,,1,,,,,,
770115,295067342,35319108,45327434,51,0,0,0,0,0,0,哥们就你五大三粗满脸横肉没智商的脑袋真不配干售货买你家东西你给谁脸色呢出了你家店你就是一废人,0,0,亲爱的顾客非常不好意思没能让您满意对此我们深感抱歉请允许我们集体弯腰度向您献上我们的歉意也请您尽管放心下一次订餐一定会让您满意,76,,,,,,,,,1,,,,,,
203247,339113617,866320260,19566235,199,0,0,0,0,0,0,昨天晚上我和我对象去吃烤鱼桌的服务员特别差特别差等了分钟让他催一下还特别不情愿后来鱼上来了我们点的香辣一点味都没有跟服务员说他说你们点的是香辣怎么可能没味我说要不你尝尝她一脸不情愿就走了后来又过来说厨师说往上面浇点汁靠那就是一碗辣椒和盐浇在上面根本没法吃咸都咸死了靠我是过来消费的还多不是过来生气的好么来了不止一次两次了就这样糊弄气死了,0,0,亲爱的顾客您好我是门店负责人小郭非常感谢您的光临惠顾给您用餐带来不便感到十分抱歉我店会马上对服务人员和后厨人员加强培训以保证服务与菜品的质量杜绝类似情况再次发生下次来的时候您给我或店面打电话给您留个好位置服务一定做到让您满意还可以提前点鱼哦我的联系方式店面在此恭候您的光临,169,,,,,,,,,1,,,,,,
313556,169214842,3934179,21594670,83,0,1,4,1,1,1,说实话口味上没觉得有什么特别之处多元一个球我觉得还是吃哈根达斯吧比较特别的就是制作过程以及配合的灯光很吸引人口味选择比较多不过不会有哇吃了还想吃的感觉,0,0,二十多块钱是三个球左右的量啊比哈根达斯便宜多了哦而且完全没有添加剂香精和色素,44,,,,,,,,,0,,,,,,
801458,288641478,30057606,508125,76,0,0,0,0,0,0,要多差有多差钱全拿来装修店面了空调力度也不够想着来次北京不容易吃一回吧后悔到天安门去了有那钱吃点啥不好最后总结一句话除了贵没吃出特色来,2,0,尊敬的顾客您好您的反馈对我们很重要您的宝贵意见是我们改进和继续努力的动力我们将不断改进提升服务质量希望您继续支持全聚德和平门店欢迎您下次到楼参观全聚德展览馆感受全聚德百年历史文化,103,,,,,,,,,0,,,,,,
905367,299902481,16522846,5439398,20,0,0,0,1,2,2,这家服务一般上菜速度较慢整体环境尚可,0,0,亲爱的南丽湖谢谢您的点评和反馈对于您提出的服务和上菜速度问题我会持续加强上菜速度管理及服务培训欢迎亲随时来验收成果哦我是服务经理颜涛期待您再次光临,95,,,,,,,,,1,,,,,,
90774,305743213,54788709,17984550,108,0,0,0,2,0,0,菜的品位还不错给一颗星环境两年前还算不错现在还这个样子真不能说不错了服务是太差了所有服务员没有笑脸没有人用礼貌用语没有主动服务连结账都不着急完全没有了往日辉煌啊最差的是菜量简直是没法看了,0,0,尊敬的顾客您好非常感谢您把用餐中我们的不周到之处提出来接下来我们会加强培训,40,,,,,,,,,0,,,,,,
225143,40836698,5329521,1970962,55,0,0,0,1,1,1,没有以前味道好了麻辣烫土豆不熟毛肚太老味道也没有以前好吃了主要昨天吃完今天还拉肚子以后再也不去了,0,0,贝掌柜喵喵您好掌柜我有好好看您的点评了哦也感谢您抽出时间来点评我们家这无疑对我们每位工作人员是一种认可与动力您的问题我们已收集好反馈给相关人员我们希望改进后能给您和其他的消费者提供更好的餐品与服务现在店内正在进行活动您也可以时常关注一下以后会经常有些活动可以呈现给您期待您下回光临如果以后用餐遇到问题也可以私信我我会尽力帮您解决,186,,,,,,,,,1,,,,,,
794218,254184494,6000046,50253785,22,0,0,0,1,1,1,不知道为什么这么火做法有点浪费了食材,0,1,您好感谢您来点卯餐厅就餐首先我们的菜品没有令您满意我们深表歉意在此也跟您介绍一下我们家菜品特色主打有海爨锅十款海鲜大咖和地道老北京菜像我们的海鲜大咖推出了十款并有九种品牌秘制口味供您选择肯定会有一款菜品令您满意吃鲜咱有鲜的做法吃辣咱有辣的做法您可以选择的咱们菜单上有介绍欢迎您下次来尝本店用心做菜诚信做人终有一款菜品可以令您满意也希望您为我们提出宝贵的意见和建议再次感谢您来本店就餐点卯餐厅全体员工期待您的下次光临,229,,,,,,,,,0,,,,,,
5689,324227176,15281811,10644837,101,0,0,0,2,0,2,菜品还可以香油无限供应都还好但是卫生条件让人堪忧冬天去吃过四次有三次都碰见蟑螂从吊顶的墙边爬下来也不知道吊顶上面有多少蟑螂也不知道后厨有多少蟑螂这个绝对是硬伤如果卫生部门来查也是一查一个准,0,1,我们和专业的消毒杀虫公司签约的每周都在全面消毒在此祝你们平安夜快乐,37,,,,,,,,,0,,,,,,
893889,73595816,28236279,5377155,16,0,0,0,1,1,1,团购不太好比望京的紫霞门差远了,0,0,多谢您给予评价和建议我们会努力改进做到更好您的满意是我们的目的,34,,,,,,,,,0,,,,,,
499210,272754445,12775094,24528652,24,0,0,0,1,1,1,我不忍吐槽也就是在西单商场人流多一些,0,0,感谢您光临绿茶餐厅很荣幸您能提出宝贵意见我们将尽心尽力的去改正感谢您一直以来的关注期待您的下次光临祝您愉快每一天,62,,,,,,,,,0,,,,,,
555528,23278896,6205862,2758486,129,0,0,0,0,0,1,去这个地方纯粹是因为簋街吃完后就发誓再也不去了传说中的招牌菜麻辣小龙虾又贵又辣又没得吃费半天劲只能吃到一点儿肉疙瘩汤还可以不过哪个饭店的疙瘩汤也都不错可能是因为和小龙虾一块儿吃显得疙瘩汤好吃吧凉菜大丰收中的尖椒适合自虐狂去品尝绝对辣,0,0,您好欢迎您到本店用餐很抱歉没能为您提供满意的服务影响了您的用餐体验我们深表歉意我们会加强员工培训提高服务水平簋街仔仔全体员工真诚的邀请您再次前来用餐我们定会给您更好的体验菜好客回头味正人自留是我们的经营宗旨期待您的关注欢迎您的下次光临,129,,,,,,,,,0,,,,,,
330643,140432888,1032684,21792466,82,0,0,0,1,2,1,湖北菜说实话味道一般般只适合随便吃吃环境有些特色服务整体跟不上全程几乎不见服务员任何问题都得说几遍才能回应结账居然都说了遍等待的时间比用餐时间还长,0,0,感谢亲反馈我们正加紧磨合培训力争一周内解决所有问题,28,,,,,,,,,0,,,,,,
423437,271904003,52649282,2313859,24,0,0,0,1,1,1,越来越差了一次不如一次味道怪怪的一点都不正宗,2,0,您好我是眉州东坡尚街店店经理何春江在此真诚的向您道歉对我们店用餐给您带来的不愉快说声对不起请您原谅对您提出的问题我们会认真分析原因并制定整改措施在工作中认真去执行希望您以后能持续来我店用餐给我们提更多宝贵的意见和建议再次感谢期待您的下次光临,134,,,,,,,,,1,,,,,,
815842,342553476,5707470,510273,118,0,0,0,0,1,0,没有更差只有最差点什么没什么流沙包没有小笼包没有烧汁包下了单要结账了没有做服务费百分之十没有服务虾肠粉以前每段肠粉一整只虾现在只有半只一笼虾饺只只破口风爪口味变了可能真的是厨师荒不值得再去,0,0,尊敬的贵宾您好感恩您光临新世纪唐宫今天用餐给您带来不愉快真的很抱歉我们和出品部同事做了深刻的检讨备货不足提升上菜速度服务质量加强希望给我们改进机会我是店长小任欢迎再次光临,105,,,,,,,,,1,,,,,,
672051,200846780,175247491,3546265,156,0,0,0,1,1,0,服务员和之前完全不一样了貌似换了一波几个服务员在大厅里打闹服务态度也很一般虽然以前经常来但是确实是越来越失望虽然有很多优惠但是商家的限制太多给好评送斤鱼票靠这样刷好评恐怕也不会太长久靠和消费者玩文字游戏开店后果也不难想象总之虽然以前经常来但是对这家店真的越来越失望以后绝对不想再来了,0,0,亲很抱歉令您有次不愉快的用餐感受感谢您对我们提出的意见我们会加强员工培训保证您下次用餐更满意期待您再次光临,58,,,,,,,,,0,,,,,,
476296,258406236,750156916,23919667,105,0,0,0,0,1,0,没有任何服务可言味道如大家所述真的太一般大家都说不好是有道理的不会再来这家进来后才发现不是老杜火锅是记忆老杜火锅感觉有让消费者误会之嫌疑真没什么可推荐的菜连豆花都没有只有普通豆腐也是无语了,1,0,客官您好我们是重庆记忆老灶火锅北京朝阳店总部坐落于重庆市沙坪坝区入选了旅游卫视当地人推荐最多的火锅店之一我们的辣椒等底料全部从重庆空运而来正宗重庆味道我们还在不断努力期待您的再次光临,101,,,,,,,,,0,,,,,,
483106,299861291,5178752,24009322,117,0,1,3,2,2,1,感谢大众点评地的霸王餐抽到元代金劵三个人去的有代金劵就用不了其他优惠吃完了还多加了靠两百块价位真的不算低可是菜品却一般点的鸳鸯锅清汤里面就飘了三片萝卜辣锅也很一般不香服务员态度一般爱答不理不会再去吃了,0,0,尊敬的贵宾您好感谢您的点评和建议首先恭喜您获得我们第二轮霸王餐的就餐名额店内和网上的活动都是不能同时享受的望谅解对于锅底清汤里有萝卜和玉米的哦辣锅的话味道不满意可以告知我们给您加麻加辣的对于服务人员的失职表示歉意最近新进的员工较多我们一定加强培训做的更好期待与您的再次相遇祝您开心快乐事事顺心,159,,,,,,,,,1,,,,,,
372962,273397380,808254785,22426382,84,0,0,0,1,2,1,说实话把麻婆豆腐做成这样的川菜馆还是头次见吃了一口就再也不想动了芽菜扣肉量是在逗小孩儿吗重庆小面就是噩梦一点都不香唯一值得表扬的就是水煮鱼了很好吃,0,0,谢谢您的光临我们会立即关注您指出的两个菜品保证把菜品按出品标准生产到位给您带来的不使在此向您表示歉意顺祝开心并致良好问候,66,,,,,,,,,1,,,,,,
967092,342787773,1073729133,579003,138,0,0,0,0,0,0,菜的味道真的实在难以恭维吃了多没有一道可口的环境也一般宝宝椅好脏好旧换了一个也只稍微好点点盘子有一个很脏瞬间感觉不好了上的菜不是错就是慢烤鸭上错了料鸭架搞错了做法最后上来我们都吃完好久了只能打包而且热菜一点都不热吃的真心不爽以后不会再来了,1,0,尊敬的顾客您好我是本店的店长我的手机号是给您就餐带来不愉快我们深表歉意针对您提出的宝宝椅餐具是我们的失误我们立刻改进并且严格杜绝内似问题再次发生我们在以后的工作中不断提升期待您的下次订餐和好评祝您生活愉快,122,,,,,,,,,1,,,,,,
65782,334401605,23979336,17158200,71,0,0,0,1,2,1,整体很一般特别想吐槽红糖冰粉里面倒的居然是红酒问是不是倒错了味道完全不对说就是这么混着来的我一肚子特别大的孕妇服务员也不提醒下,0,0,尊敬的客人您好感谢您选择我们分店并对我们餐厅做出评价我们万分荣幸能为您服务正是如您一样的客人对我们的不断关心和督促才能使我们不断发现工作中的问题获得改正和不断进步从您这次的用餐的评论中我们深表遗憾餐厅的服务并没有达到您的期望对于您在就餐中所遇到的问题我们致以最诚挚的歉意此外我们一定检讨自己做的不足的地方并积极改正希望我们真诚的服务能够带给您更惬意的体验餐厅全体员工衷心期待您的再次光临,217,,,,,,,,,0,,,,,,
638090,285251056,919243611,32654848,30,0,0,0,0,1,2,吃过很多次今天的不知道为什么超级难吃没有味道室内很热,0,0,亲我们立刻改正期待您的再次品鉴,17,,,,,,,,,0,,,,,,
232138,312749678,1103196539,2005129,33,0,0,0,1,1,1,汤锅端上来很浑浊感觉用过好几次的底料味道也不怎么香有点失望,0,0,尊敬的贵宾您好我是松榆西里店厨师长首先感谢您的光临和反馈关于您反映的锅底问题是由于天气比较凉而且我们锅底也含有牛油所以会有凝固的现象随着加热凝固现象也会彻底消失您可以放心食用我们也会规范操作杜绝此类事件发生争取下次让您满意全体员工欢迎您再次光临祝您生活愉快,143,,,,,,,,,1,,,,,,
752311,257471493,22044277,43384755,42,0,1,1,0,0,0,很难吃而且怀疑肉馅的质量建议大家谨慎图片照的是在包子里就出来的东东很怀疑是啥,0,0,亲首先谢谢您光临我店请不要质疑包子里流出的东东那是皮冻里的胶原蛋白煮肉时产生的浮沫大多为动物性原料的蛋白质等蛋白质在加热至度时就会发生热变性凝固成块成为胶原蛋白具有美容养颜的功效请亲放心食用希望亲能再次光临本店,118,,,,,,,,,1,,,,,,
296725,154022195,78590715,21337392,109,0,1,6,1,2,2,来这家店已经次了感觉店里的服务生晕晕乎乎的饭菜总体感觉还可以只是太稀了油泼面根本没有油啊就像刚从水里捞上来的上次吃凉皮也是不知道啥情况疙瘩汤也还行也是很稀人不是很多肉夹馍不错饼好吃价格适中,1,1,感谢惠顾凉皮油泼面本身就讲究汁多味浓啊喜欢油多可以给服务员提出现在普遍口味清淡讲究健康所以油适量如您需要可以要求饭点我店从来都是人气爆棚最后祝您万事如意心想事成,88,,,,,,,,,0,,,,,,
180396,252293002,47451398,1945873,174,0,1,4,1,2,1,这家店开了好多年了环境还是比较现代简约就在庄胜二期地下一层星巴克的后面以前加班晚了会来吃很久没来今天逛街进来小吃一下发现做的真是越来越糙了西兰花切的真是太大快乐太大了干脆整颗扔锅里炒得了三鲜煎饺勉勉强强吧就是觉得只是个肉馅的没吃出三鲜馅这个洛神冻饮以前每次来都会喝现在怎么这么酸牙要掉了另外墙上的鸡汤有点搞笑,0,0,收到您的点评首先对于您用餐的不愉快表示歉意我们会立即与后厨品管试吃看看是否菜品操作存在问题同时我们也会追踪员工操作流程改进工作中的不足之处也希望您给予我们改进的机会期待您的监督与指导,99,,,,,,,,,1,,,,,,
268493,237119959,835644243,21088559,67,0,1,6,1,2,2,这里的镇店菜宫爆鸡丁口味还不错其它的菜就马马虎虎了酸汤肥牛肉还真不少就是口感不好肉好老糟溜鱼片也不好吃我看是徒有虚名吧,0,0,尊敬的贵宾您好感谢您对我们提出宝贵意见我们会加强菜品培训期待您和家人朋友的再次光临,45,,,,,,,,,0,,,,,,
668323,307872667,50640021,3514384,157,0,0,0,0,0,0,服务太差了上菜速度特别慢中午去算上我们就两桌客人菜等了五十分钟都没有上齐更何况我只是点了一个粥和饼热粥都喝完了饼都没有上来催了好几次总是说马上去结账吧台当时有人在结帐问多少钱服务员竟然说不只道很无奈实在是太差劲了真的是不能给零星以后再也不去了崇文门这附近还是第一次见这么差劲的餐厅,8,0,您好我是宏状元客服中心收到您的额反馈信息我们很是重视未能给您提供良好的用餐体验我们深表歉意我会将您的反馈信息告知相应门店做出整改期待您的再次光临,78,,,,,,,,,0,,,,,,
576276,182604572,29764213,2980477,40,0,0,0,1,1,0,服务差东西不好吃面是冷的真心一般不知道之前的好评都怎么来的真的很一般,1,0,很抱歉给您带来的不愉快我们深表歉意您提出的宝贵意见我们已采纳面的温度已调整感谢您的支持期待您的光临,58,,,,,,,,,1,,,,,,
45479,191722051,768616732,13767670,196,0,1,3,0,1,1,两个人点了少量烧烤和一份脑子还有拍黄瓜什么的等了分钟还没上那份脑子串儿倒是上了羊肉串三块小小的肉串起来比手指还短鸡心串儿大概是一个鸡心切了四片服务完全是没头苍蝇一样乱转真不知道这样的店是怎样把点评刷到星多根本就是性价比极低本来烧烤类应该是很容易做好做出特色结果这家店光顾着打响名头根本没在专心做产品和服务虽然在南锣鼓巷这种黄金地段但是这样生态必然不会长久,0,2,尊敬的顾客您好很抱歉让您有了不好的用餐体验在此对您表示诚挚的歉意关于您所提到的问题我们已经认真记录并尽快改正我们会加强服务员的培训还请您谅解欢迎您今后还会再来我们店里相信届时会给您及其他顾客带来全新的服务体验谢谢您的意见,119,,,,,,,,,0,,,,,,
481639,245190735,803056902,23973396,116,0,1,1,2,2,0,味道还行但是服务很烂而且我是让他们弄得什么冷锅串儿当时不数签子吃完了数上来以后我发现好多空的签子盘子里也没有东西不知道怎么回事服务员不行问点事儿老特么傻乐要凉豆浆上来的还是热的要的鸭血和宽粉直接给忘了郁闷,0,0,谢谢您到小店用餐关于签子上的菜品一般也不会煮丢但也不排除偶然出现实在抱歉其实您当时就可以提出来现场即可以解决了服务员的服务给您造成不愉快喔给您道歉我们会追究处理请您忘掉不愉快期望您有机会再来光顾小店用餐谢谢,113,,,,,,,,,0,,,,,,
187154,181265359,752172592,20929239,90,0,0,0,0,2,0,我吃过最差的一家日料号称厨师日本人日本人也不是都会做菜吧烤鳗鱼全是刺又干又柴梅子寿司又酸又咸面条就像粗挂面一点食欲没有唯一能入口的就是章鱼丸子服务不好上菜特别慢,0,0,谢谢您给予我们的宝贵意见我们会尽快改善让顾客满意,27,,,,,,,,,0,,,,,,
219797,191126734,7778592,19694605,50,0,0,0,0,1,2,点了三个菜都好难吃羊肉泡馍还不错但是也太贵了呀人均这个价格以后绝不选这家餐厅了羊肉串还行,0,0,谢谢您的评价若有不周之处请多多包涵祝您生活愉快,26,,,,,,,,,0,,,,,,
840303,163039914,42624787,511120,326,0,0,0,1,1,0,总体一个字乱请朋友帮忙团的劵期间上错两次饺子全让我们给退回去了后来又莫名其妙的上了一盘炸河虾同去的朋友尝了后发现巨难吃就问是谁点的这么难吃的菜才发现菜单上根本没有这个菜就扔下等着服务员自己拿回去可是一直到结账也没有人来取等结账时才发现结账单上赫然有这道菜质问服务员是怎么回事服务员很坦然的说因为你们的钱到元了这是元加元送的我们问那你告诉我们了吗服务员说你们吃了就得给钱哈我只想问问你要是没打招呼给我上一道龙虾我也得给钱是吗虽然最后在我们的坚持下没收这元钱但是我想说的是别看这元钱不多可你们这种强买强卖的不负责任的做法加之这种混乱的管理真不知道你们的生意能不能做长久,0,0,非常感谢您提出宝贵意见不知您在没付帐又把河虾的菜品带走满意否我们会加强服务员与客人沟通技巧尽量达到客人满意,57,,,,,,,,,0,,,,,,
702461,342774406,32800936,38225096,19,0,0,0,1,1,1,总体评价一般般吧但是喜欢他有鱼香鸡丝,0,0,亲感谢您选择我家用餐您是我家老顾客很期待您给我们宝贵建议不知道哪道菜没让您满意请您明示我们一定会虚心接受不断改进作出让您满意的菜品期待您的再次光临祝您生活愉快,90,,,,,,,,,1,,,,,,
156290,344863551,39312131,1922578,20,0,1,3,2,1,0,中午上菜可是够慢的漫到我都有时间写评论,0,0,亲感谢点评您的用餐感受已经列入本月重点工作我们一定加紧培训提升服务质量交一份满意的答卷下次来店惊喜相送辛苦啦,61,,,,,,,,,1,,,,,,
18503,215794682,184252236,14155041,113,0,1,6,2,1,1,虽然不太爱吃北京菜但这的菜还可以芥末墩呛死我了拔丝红薯拔的还行虾好吃羊肉乱炖鱼头乱七八糟一堆味道都还可以七七八八点了一堆但是吃完没有一个特别有印象的可能北京菜就是这么平实吧都是老百姓常吃的东西好评呵呵呵,1,0,您好非常感谢您的评论和支持我们会更加努力的为广大顾客提供更好的菜品和优质的服务同时也希望您能够继续关注和监督我们北平食府期待您的再次光临我是店长薛晶晶电话祝您身体健康生活愉快,108,,,,,,,,,0,,,,,,
399292,335643497,44447796,22897257,215,0,1,3,2,1,1,位置不是特别好找建议第一次来吃饭的朋友导航一下在沃尔玛斜对面的小区里这周带父母过来吃的因为之前来他家吃过一次觉得还不错所以现在已经是第二次来了对于一个不爱吃带膳味儿肉肉的我来说还是能接受他家的烤羊肉的他家牛肉味道也不错还比较嫩就是晚上人比较多建议不要来太晚因为晚上基本都能坐满蘸料口味适中不咸不淡特别推荐他家牛肉和炸丸子他家美中不足就是盘子有点小还有现在服务员换篦子没有从前不勤快但口味依旧不错,1,0,谢谢光临谢谢您喜欢服务不周是我们的失误不足之处一定改进恭候您的下次光临,41,,,,,0,0,0,0,0,,,,,,
682268,343792427,761963358,3639187,31,0,1,1,0,0,0,点了四份饭少给我一份虽然补上了可是好饿好饿差评,0,0,亲您好对于您今天不好的用餐感受我深表歉意作为店总我会第一时间对餐厅的服务进行改善与提升在您方便的时候期待与您做进一步沟通店总手机号码,87,,,,,1,1,0,0,0,0,,,,,
544083,210829392,7752959,27252178,43,0,0,0,0,0,0,上菜慢服务差以后再也不能来了有图有真相联系还是不要再来了没有发票没有优惠,0,0,您好小煙槍感谢光临站点比萨永旺餐厅并感谢您能给予我们这样中肯的评价和意见非常抱歉带给您一次不满意的用餐体验我们将会针对您在餐厅环境方面的回馈对餐厅整体卫生进行大力整改并严格监督提供最棒的食品最棒的服务最棒的环境是我们一直的经营理念希望您能给我们一次改进的机会我是店内负责人张惠凝再次感谢您对我们的支持我们的联系电话是您有任何问题可以随时跟我们联系为了方便您的用餐我们所有餐厅均提供周边五公里之内元起免费送餐订餐电话站点比萨永旺餐厅全体员工期待您的下次光临,274,,,,,1,1,0,1,1,,,,,,
